Poles, Width, Points, Ratio
Run 0: (10, 0.01, 3, 0.0001)
Run 1: (10, 0.01, 3, 0.001)
Run 2: (10, 0.01, 3, 0.01)
Run 3: (10, 0.01, 3, 0.1)
Run 4: (10, 0.01, 6, 0.0001)
Run 5: (10, 0.01, 6, 0.001)
Run 6: (10, 0.01, 6, 0.01)
Run 7: (10, 0.01, 6, 0.1)
Run 8: (10, 0.01, 10, 0.0001)
Run 9: (10, 0.01, 10, 0.001)
Run 10: (10, 0.01, 10, 0.01)
Run 11: (10, 0.01, 10, 0.1)
Run 12: (10, 0.01, 25, 0.0001)
Run 13: (10, 0.01, 25, 0.001)
Run 14: (10, 0.01, 25, 0.01)
Run 15: (10, 0.01, 25, 0.1)
Run 16: (10, 0.01, 30, 0.0001)
Run 17: (10, 0.01, 30, 0.001)
Run 18: (10, 0.01, 30, 0.01)
Run 19: (10, 0.01, 30, 0.1)
Run 20: (10, 0.01, 50, 0.0001)
Run 21: (10, 0.01, 50, 0.001)
Run 22: (10, 0.01, 50, 0.01)
Run 23: (10, 0.01, 50, 0.1)
Run 24: (10, 0.01, 75, 0.0001)
Run 25: (10, 0.01, 75, 0.001)
Run 26: (10, 0.01, 75, 0.01)
Run 27: (10, 0.01, 75, 0.1)
Run 28: (10, 0.01, 90, 0.0001)
Run 29: (10, 0.01, 90, 0.001)
Run 30: (10, 0.01, 90, 0.01)
Run 31: (10, 0.01, 90, 0.1)
Run 32: (10, 0.01, 100, 0.0001)
Run 33: (10, 0.01, 100, 0.001)
Run 34: (10, 0.01, 100, 0.01)
Run 35: (10, 0.01, 100, 0.1)
