Poles, Width, Points, Ratio
Run 0: (10, 0.01, 2, 0.0001)
Run 1: (10, 0.01, 2, 0.005357894736842106)
Run 2: (10, 0.01, 2, 0.01061578947368421)
Run 3: (10, 0.01, 2, 0.015873684210526314)
Run 4: (10, 0.01, 2, 0.02113157894736842)
Run 5: (10, 0.01, 2, 0.02638947368421053)
Run 6: (10, 0.01, 2, 0.03164736842105263)
Run 7: (10, 0.01, 2, 0.03690526315789474)
Run 8: (10, 0.01, 2, 0.04216315789473685)
Run 9: (10, 0.01, 2, 0.047421052631578954)
Run 10: (10, 0.01, 2, 0.05267894736842106)
Run 11: (10, 0.01, 2, 0.05793684210526316)
Run 12: (10, 0.01, 2, 0.06319473684210526)
Run 13: (10, 0.01, 2, 0.06845263157894738)
Run 14: (10, 0.01, 2, 0.07371052631578948)
Run 15: (10, 0.01, 2, 0.07896842105263159)
Run 16: (10, 0.01, 2, 0.08422631578947369)
Run 17: (10, 0.01, 2, 0.08948421052631579)
Run 18: (10, 0.01, 2, 0.0947421052631579)
Run 19: (10, 0.01, 2, 0.1)
Run 20: (10, 0.01, 7, 0.0001)
Run 21: (10, 0.01, 7, 0.005357894736842106)
Run 22: (10, 0.01, 7, 0.01061578947368421)
Run 23: (10, 0.01, 7, 0.015873684210526314)
Run 24: (10, 0.01, 7, 0.02113157894736842)
Run 25: (10, 0.01, 7, 0.02638947368421053)
Run 26: (10, 0.01, 7, 0.03164736842105263)
Run 27: (10, 0.01, 7, 0.03690526315789474)
Run 28: (10, 0.01, 7, 0.04216315789473685)
Run 29: (10, 0.01, 7, 0.047421052631578954)
Run 30: (10, 0.01, 7, 0.05267894736842106)
Run 31: (10, 0.01, 7, 0.05793684210526316)
Run 32: (10, 0.01, 7, 0.06319473684210526)
Run 33: (10, 0.01, 7, 0.06845263157894738)
Run 34: (10, 0.01, 7, 0.07371052631578948)
Run 35: (10, 0.01, 7, 0.07896842105263159)
Run 36: (10, 0.01, 7, 0.08422631578947369)
Run 37: (10, 0.01, 7, 0.08948421052631579)
Run 38: (10, 0.01, 7, 0.0947421052631579)
Run 39: (10, 0.01, 7, 0.1)
Run 40: (10, 0.01, 12, 0.0001)
Run 41: (10, 0.01, 12, 0.005357894736842106)
Run 42: (10, 0.01, 12, 0.01061578947368421)
